,Owner,Session ID,Mouse ID,Date,Phase,Laser Stim Prob,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
0,shay,11012016_K1,K1,11/1/2016 0:00,1,0.0,1.0,1.0,1000,1000,8,0,8,0.0,10,0.5,35,35
1,shay,11022016_K1,K1,11/2/2016 0:00,1,0.0,1.0,1.0,1000,1000,85,0,85,0.0,10,0.5,35,35
2,shay,11032016_K1,K1,11/3/2016 0:00,1,0.0,1.0,1.0,1000,1000,104,0,104,0.0,3,1.0,35,35
3,shay,11042016_K1,K1,11/4/2016 0:00,2,0.0,0.1,0.9,50,50,70,1,50,0.83,2,1.0,35,35
4,shay,11082016_K1,K1,11/8/2016 0:00,1,0.0,1.0,1.0,500,500,118,0,118,0.0,5,1.0,60,60
5,shay,11092016_K1,K1,11/9/2016 0:00,1,0.0,1.0,1.0,500,500,133,0,133,0.0,5,1.0,60,60
6,shay,11102016_K1,K1,11/10/2016 0:00,2,0.0,0.0,1.0,30,30,213,4,134,0.63,5,1.0,35,35
7,shay,11112016_K1,K1,11/11/2016 0:00,2,0.0,0.0,1.0,50,50,315,5,258,0.82,2,1.0,35,35
8,shay,11142016_K1,K1,11/14/2016 0:00,2,0.0,0.1,0.9,50,50,415,5,284,0.72,2,1.0,35,35
9,shay,11152016_K1,K1,11/15/2016 0:00,2,0.0,0.1,0.9,50,50,315,4,228,0.77,2,1.0,35,35
10,shay,11162016_K1,K1,11/16/2016 0:00,2,0.0,0.1,0.9,50,50,217,3,169,0.85,2,1.0,35,35
11,shay,11172016_K1,K1,11/17/2016 0:00,2,0.0,0.2,0.8,30,40,198,3,131,0.8,2,1.0,35,35
12,shay,11182016_K1,K1,11/18/2016 0:00,2,0.0,0.8,0.2,20,40,213,4,128,0.65,2,1.0,35,35
13,shay,11212016_K1,K1,11/21/2016 0:00,2,0.0,0.2,0.8,50,50,349,4,219,0.74,2,1.0,35,35
14,shay,11222016_K1,K1,11/22/2016 0:00,2,0.0,0.8,0.2,20,40,281,6,200,0.84,2,1.0,35,35
15,shay,11292016_K1,K1,11/29/2016 0:00,2,0.0,0.1,0.9,50,50,399,6,305,0.82,2,1.0,35,35
16,shay,11302016_K1,K1,11/30/2016 0:00,2,0.0,0.8,0.2,10,40,470,10,289,0.68,2,1.0,35,35
17,shay,12012016_K1,K1,12/1/2016 0:00,2,0.0,0.2,0.8,50,50,91,1,54,0.77,2,1.0,35,35
18,shay,12022016_K1,K1,12/2/2016 0:00,2,0.0,0.2,0.8,10,40,194,5,127,0.75,2,1.0,35,35
19,shay,12052016_K1,K1,12/5/2016 0:00,2,0.0,0.2,0.8,10,40,364,8,238,0.75,2,1.0,35,35
20,shay,12062016_K1,K1,12/6/2016 0:00,2,0.0,0.2,0.8,10,40,521,12,321,0.75,2,1.0,35,35
21,shay,12072016_K1,K1,12/7/2016 0:00,2,0.0,0.3,0.7,10,40,404,9,225,0.69,2,1.0,35,35
22,shay,12082016_K1,K1,12/8/2016 0:00,2,0.0,0.3,0.7,10,40,604,14,349,0.64,2,1.0,35,35
23,shay,12092016_K1,K1,12/9/2016 0:00,2,0.0,0.7,0.3,10,40,586,11,308,0.63,2,1.0,35,35
24,shay,12122016_K1,K1,12/12/2016 0:00,2,0.0,0.7,0.3,10,40,550,11,302,0.65,2,1.0,35,35
25,shay,12132016_K1,K1,12/13/2016 0:00,2,0.0,0.7,0.3,10,40,601,15,365,0.74,2,1.0,35,35
26,shay,12162016_K1,K1,12/16/2016 0:00,2,0.0,0.3,0.7,10,40,403,10,239,0.71,2,1.0,35,35
27,shay,11162016_K4,K4,11/16/2016 0:00,1,0.0,1.0,1.0,1000,1000,436,0,436,0.0,10,1.0,35,35
28,shay,11182016_K4,K4,11/18/2016 0:00,1,0.0,1.0,1.0,1000,1000,1,0,1,0.0,10,1.0,35,35
29,shay,11212016_K4,K4,11/21/2016 0:00,1,0.0,1.0,1.0,1000,1000,2,0,2,0.0,10,1.0,35,35
30,shay,11222016_K4,K4,11/22/2016 0:00,1,0.0,1.0,1.0,1000,1000,2,0,2,0.0,10,1.0,35,35
31,shay,11292016_K4,K4,11/29/2016 0:00,1,0.0,1.0,1.0,1000,1000,5,0,5,0.0,10,1.0,45,45
32,shay,12022016_K4,K4,12/2/2016 0:00,1,0.0,1.0,1.0,1000,1000,37,0,37,0.0,15,1.0,50,50
33,shay,12052016_K4,K4,12/5/2016 0:00,1,0.0,1.0,1.0,1000,1000,153,0,153,0.0,15,1.0,35,35
34,shay,12062016_K4,K4,12/6/2016 0:00,1,0.0,0.0,0.0,30,30,54,1,30,0.0,5,1.0,35,35
35,shay,12072016_K4,K4,12/7/2016 0:00,2,0.0,0.0,1.0,30,30,92,1,45,0.49,5,1.0,35,35
36,shay,12082016_K4,K4,12/8/2016 0:00,2,0.0,0.0,1.0,30,30,12,0,3,0.25,5,1.0,35,35
37,shay,12092016_K4,K4,12/9/2016 0:00,2,0.0,0.0,1.0,30,30,60,1,33,0.55,5,1.0,35,35
38,shay,12122016_K4,K4,12/12/2016 0:00,2,0.0,0.0,1.0,30,30,74,1,39,0.53,5,1.0,40,40
39,shay,12132016_K4,K4,12/13/2016 0:00,2,0.0,0.0,1.0,30,30,44,0,17,0.39,5,1.0,35,35
40,shay,12152016_K4,K4,12/15/2016 0:00,2,0.0,1.0,0.0,30,30,111,2,64,0.58,5,1.0,35,35
41,shay,12162016_K4,K4,12/16/2016 0:00,2,0.0,0.0,1.0,30,30,140,2,67,0.48,2,1.0,35,35
42,shay,09142016_q43,q43,9/14/2016 0:00,1,0.0,0.9,0.9,500,500,3,0,1,0.0,10,1.0,30,35
43,shay,09192016_q43,q43,9/19/2016 0:00,1,0.0,1.0,1.0,500,500,50,0,50,0.0,10,1.0,35,35
44,shay,09202016_q43,q43,9/20/2016 0:00,1,0.0,0.9,0.9,500,500,126,0,111,0.0,5,1.0,35,30
45,shay,09212016_q43,q43,9/21/2016 0:00,2,0.0,0.9,0.1,50,50,176,1,70,0.39,3,1.0,35,35
46,shay,09222016_q43,q43,9/22/2016 0:00,2,0.0,1.0,0.0,50,50,241,2,125,0.52,3,1.0,35,35
47,shay,09232016_q43,q43,9/23/2016 0:00,2,0.0,1.0,0.0,50,50,164,1,50,0.0,3,1.0,35,35
48,shay,09262016_q43,q43,9/26/2016 0:00,2,0.0,0.9,0.1,50,50,311,3,191,0.65,3,1.0,35,35
49,shay,09272016_q43,q43,9/27/2016 0:00,2,0.0,0.0,1.0,50,50,474,7,374,0.79,3,1.0,35,35
50,shay,09282016_q43,q43,9/28/2016 0:00,2,0.0,0.0,1.0,50,50,471,7,359,0.76,3,1.0,35,35
51,shay,09292016_q43,q43,9/29/2016 0:00,2,0.0,0.1,0.9,50,50,548,7,397,0.78,2,1.0,35,35
52,shay,09302016_q43,q43,9/30/2016 0:00,2,0.0,0.1,0.9,50,50,480,6,343,0.76,2,1.0,35,40
53,shay,10042016_q43,q43,10/4/2016 0:00,2,0.0,0.1,0.9,50,50,462,6,330,0.77,2,1.0,35,35
54,shay,10052016_q43,q43,10/5/2016 0:00,2,0.0,0.9,0.1,50,50,527,7,394,0.84,2,1.0,35,35
55,shay,10062016_q43,q43,10/6/2016 0:00,2,0.0,0.9,0.1,50,50,525,7,389,0.8,2,1.0,35,35
56,shay,10112016_q43,q43,10/11/2016 0:00,2,0.0,0.1,0.9,50,50,565,8,425,0.82,2,1.0,35,35
57,shay,10122016_q43,q43,10/12/2016 0:00,2,0.0,0.1,0.9,50,50,468,6,330,0.77,2,1.0,35,35
58,shay,10132016_q43,q43,10/13/2016 0:00,2,0.0,0.2,0.8,50,50,559,7,370,0.79,2,1.0,35,35
59,shay,10142016_q43,q43,10/14/2016 0:00,2,0.0,0.8,0.2,50,50,651,8,411,0.74,2,1.0,35,35
60,shay,10172016_q43,q43,10/17/2016 0:00,2,0.0,0.9,0.1,10,50,580,16,433,0.8,2,1.0,35,35
61,shay,10182016_q43,q43,10/18/2016 0:00,2,0.0,0.1,0.9,10,50,551,15,404,0.81,2,1.0,35,35
62,shay,10192016_q43,q43,10/19/2016 0:00,2,0.0,0.8,0.2,40,60,433,5,303,0.81,2,1.0,45,40
63,shay,10202016_q43,q43,10/20/2016 0:00,2,0.0,0.2,0.8,50,50,599,8,402,0.78,2,1.0,35,35
64,shay,10212016_q43,q43,10/21/2016 0:00,2,0.0,0.8,0.2,50,50,636,8,438,0.81,2,1.0,35,35
65,shay,10312016_q43,q43,10/31/2016 0:00,2,0.0,0.0,1.0,50,50,387,6,349,0.9,2,1.0,45,40
66,shay,11012016_q43,q43,11/1/2016 0:00,2,0.0,0.8,0.2,50,50,616,8,409,0.78,2,1.0,35,35
67,shay,11022016_q43,q43,11/2/2016 0:00,2,0.0,0.2,0.8,50,50,628,9,462,0.83,2,1.0,35,35
68,shay,11032016_q43,q43,11/3/2016 0:00,2,0.0,0.8,0.2,50,50,635,8,424,0.77,2,1.0,35,35
69,shay,11042016_q43,q43,11/4/2016 0:00,2,0.0,0.8,0.2,50,50,613,8,414,0.8,2,1.0,35,35
70,shay,11072016_q43,q43,11/7/2016 0:00,2,0.0,0.2,0.8,50,50,679,9,452,0.82,2,1.0,35,35
71,shay,11082016_q43,q43,11/8/2016 0:00,2,0.0,0.8,0.2,50,50,588,8,402,0.8,2,1.0,35,35
72,shay,11092016_q43,q43,11/9/2016 0:00,2,0.0,0.2,0.8,50,50,574,8,406,0.85,2,1.0,35,35
73,shay,11102016_q43,q43,11/10/2016 0:00,2,0.0,0.7,0.3,50,50,506,6,306,0.72,2,1.0,35,35
74,shay,11112016_q43,q43,11/11/2016 0:00,2,0.0,0.9,0.1,40,60,614,8,455,0.86,2,1.0,35,35
